번호,용어,설명
414,생산자산,"생산과정을 거쳐 만들어진 건물, 도로, 자동차, 기계류, 연구개발 등 고정자산과 재고품 등을 말한다. "
415,생산자제품재고지수,"광업, 제조업의 매월 말 제품재고 수준을 나타내는 통계이다. 생산자가 보유하고 있는 원재료, 반제품, 재공품과 유통업자의 재고품은 제외되며, 지수의 계산식, 계산방법, 작성 공표계열 등은 산업생산지수와 동일하다."
416,생산자출하지수,"광업, 제조업, 전기 및 가스업의 월간판매활동을 나타내는 지수로서, 지수의 계산식, 계산방법, 대표품목, 가중치체계, 작성 공표계열 등이 산업생산지수와 동일하다."
417,생활물가지수,"일상생활에서 소비자들이 자주 많이 구입하는 생활필수품을 대상으로 작성된 소비자물가지수의 보조지표로서, 품목은 쌀, 배추, 쇠고기 등 소비자들의 구입빈도가 많은 156개 생필품을 대상으로 하고 있어, 소비자의 구입빈도와 관계없이 516개 품목으로 작성되는 전체 소비자물가지수에 비해 소비자들이 체감하는 물가지수로 이용이 가능하다."
418,생활보호대상자,"국가에서 근로능력이 없는 자에 대하여 생계비 지원으로 최저생계보장 및 자립을 위한 지원으로 보호, 1인당 월소득 및 세대당 재산액을 조사하여 일정수준에 미치지 못할 경우 보호대상자로 선정한다. 생활보호대상자는 다시 거택보호대상자, 시설보호대상자, 그리고 자활보호대상자로 구분된다"
419,생활시간조사,"국민들의 생활양식을 구체적으로 파악하기 위해 하루 24시간 중 국민들이 어떠한 행동을 어느 시간대에 하고 있고, 특정 행동에 할당하는 시간량은 얼마인가를 조사하는 것이다. 이 조사는 통계청에서 1999. 9월 처음으로 전국 17,000가구의 10세 이상 가구원에 대해 조사한 이후 매 5년 주기로 실시하게 되며, 조사결과는 국민계정의 가계부문 생산의 가치측정에 대한 기초자료로 쓰일 뿐 아니라, 각종 노동, 복지, 문화, 교통관련 정책 수립이나 학문적 연구의 기초로 활용된다."
420,서버,"①일반적으로 서버라고 하면 다른 프로그램에게 서비스를 제공하는 컴퓨터 프로그램을 말한다.
  ②서버 프로그램이 실행되고 있는 컴퓨터 하드웨어도 서버라고 불린다(그 컴퓨터에서 여러 개의 서버나 클라이언트 프로그램이 동시에 운영되는 경우도 있다). 프린터 제어나 파일 관리 등 네트웍 전체를 감시, 제어하거나, 메인프레임이나 공중망을 통한 다른 네트웍과의 연결, 데이터, 프로그램, 파일 같은 소프트웨어 자원이나 모뎀, 팩스, 프린터 공유, 기타 장비 등 하드웨어 자원을 공유할 수 있도록 도와준다. 클라이언트의 수가 5~20대 정도인 소규모 LAN의 경우에는 1대의 서버로 충분히 모든 서비스를 소화할 수 있으나, 대규모 LAN의 경우에는 여러 대의 서버를 배치하고, 파일 관리는 파일서버, 프린터 제어는 프린터 서버, 인터넷 등의 외부와의 교환은 커뮤니케이션 서버가 담당하는 등 각각 역할을 세분하게 된다.
  ③클라이언트/서버 모델에서, 클라이언트 프로그램들로부터의 요구를 충족시키기 위해 기다리고 있는 프로그램을 말한다. 웹에 한정지어 생각하면, 웹 서버는 요청된 HTML 페이지나 파일들을 제공하는 컴퓨터 프로그램을 말한다. 웹 클라이언트는 사용자의 요구를 대신 서버에 요청하는 프로그램인데, 보통은 웹 브라우저가 웹 서버에게 HTML 파일을 요청하는 클라이언트 프로그램의 역할을 한다."
421,서비스,"SNA(국민계정)에 따르면 서비스는 소유권이 설정될 수 있는 독립된 실체가 아니며, 그 생산과 분리하여 거래될 수 없고, 소비자에게 제공되어야 생산이 완료된다. 서비스는 주문에 따라 생산되는 이질적인 산출물로서, 전형적으로 소비자의 수요에 따라 생산자의 활동으로 실현되는 소비단위의 제 여건 변화들로 이루어진다. 서비스의 생산은 다른 단위의 이익을 위해 한 단위가 수행한 활동으로 국한되어야 하며, 그렇지 않으면, 서비스산업은 발전할 수도 없고 시장도 형성될 수 없다. 서비스가 다른 단위에 의해 수행될 수 있는 활동의 형태라면 어떤 단위가 자가소비를 위한 서비스를 생산하는 것도 또한 가능하다. 서비스의 유형은 일반적으로 다음과 같다.
①소비재 조건의 변화 : 소비자가 보유하고 있는 상품의 수송, 청소, 수송 및 변형 등
②개인의 육체적 조건의 변화 : 운송, 숙박, 의료, 미용 등
③개인의 정신적 조건의 변화 : 교육, 정보, 상담, 오락 및 유사서비스
④제도단위의 경제적 상태의 변화 : 보험, 금융중개, 보증 등"
422,서비스수지,"외국과의 서비스거래로 수취한 돈과 지급한 돈의 차이를 말한다. 서비스수지는 가공서비스, 운송, 여행 등 12개의 항목으로 세분화되며, 각 항목에 해당하는 서비스거래를 통해 발생한 자금흐름을 기준으로 수입과 지급을 구분한다."
423,선박·차량운반구,"선박, 차량운반구는 기업소유의 선박 및 기타의 수상운반구와 철도차량, 자동차 및 기타의 육상운반구를 말한다."
424,설비투자효율 ,기업에서 실제로 사용되고 있는 설비자산(유형자산-건설중인 자산)이 어느 정도의 부가가치를 생산하였는가를 나타내는 지표로서 총자본투자효율의 보조지표로 이용된다. 또한 「설비투자효율×노동장비율 ＝ 종업원 1인당 부가가치」로 표시되므로 노동생산성의 변동요인분석에 중요한 지표로 이용된다.
425,성비,"인구의 성별 구조를 나타내는 지표로 여자 100명당 남자의 수를 나타낸다. 여아 출생아 100명당 남아 출생아수를 가리키는 출생성비, 여자사망률에 대한 남자사망률의 백분비인 사망률성비와 구분된다."
426,성장성에 관한 지표 ,"기업의 자산, 자본 등 경영규모와 기업활동의 성과가 당해년도중 전년에 비하여 얼마나 증가하였는가를 나타내는 지표로서 기업의 경쟁력이나 미래의 수익창출능력을 간접적으로 나타낸다."
427,세계산업연관표,국가별로 상이한 생산기술구조와 거래형태를 반영하고 국가 간 및 산업 간 상호의존관계를 분석하기 위해 작성되는 산업연관표 
428,세금,"집안의 가장이 월급을 받아와야 집안 살림을 할 수 있듯이 국가도 돈이 있어야 나라살림을 꾸려갈 수 있다. 나라살림을 위해 국민들이 국가에 내는 돈을 세금이라고 한다. 즉, 세금은 국가가 법률에 근거하여 법률에 규정된 과세요건에 해당하는 모든 국민에게 징수하는 돈으로서 국민에게 주는 반대급부 없이 거두게 되며, 국민의 입장에서는 내야할 세금을 내지 않으면 법적 제재를 받게 된다.

국민이 국가에 내야 할 세금은 여러 가지 법률에 명시되어 있는데 간단한 예로 우리가 물건을 살 때에도 세금을 내고 있다. 즉 문방구에서 파는 200원짜리 연필 가격에는 연필을 만드는 데 들어간 생산비와 연필공장이나 문방구가 얻게 되는 이윤 이외에도 세금이 들어 있다. 우리가 연필을 사고 200원을 내면 문방구에서는 연필 값에 포함된 세금을 정부에 내게 되어 있다. 그러니까 연필을 사는 사람도 국가에 세금을 내고 있는 셈이다."
429,세금과 공과 ,"세금은 법인세를 제외한 영업과 관련된 사업소세, 재산세, 자동차세 등으로서 제조원가와 고정자산의 원가에 포함되어 있는 제세금이 제외된 것이며 공과란 상공회의소 부과금, 연합회 부과금, 조합 각출금, 회비 등과 같이 영업에 관계가 있는 공공적 지출로서 제조원가에 포함되지 않는 것을 말한다."
430,소득,"가구의 실질적인 자산의 증가를 가져온 현금 및 현물의 수입을 말하며, 경상소득과 비경상소득으로 구성된다. 가구 및 가구원이 근로의 대가로 받은 일체의 보수와 자영으로부터의 가계전입소득 및 사업이윤과 부업소득 그리고 이자, 배당금, 임대료 등 재산적 수입, 이전소득 비경상소득(퇴직금 일시불, 복권당첨금, 상속금) 등 실질적인 현금 및 현물 소득의 합계로서 다만 비정기적인 소득은 조사기간동안 실제로 가계지출에 충당된 금액만을 포함한다. 참고로 기타수입은 소득이외의 수입으로서 재산상태에는 실질상의 증감없이 재산상의 형태가 변함으로서 이루어지는 현금수입을 말한다(예, 저금찾은 금액, 보험탄 금액, 유가증권 및 부동산 매각 등)."
431,"소득, 부 등에 대한 경상세","소득, 부 등에 대한 경상세는 가계의 소득이나 법인기업의 이익에 부과되는 조세와 부에 대해 정기적으로 부과되는 조세를 포함(부정기적으로 부과되는 자본세는 제외)"
432,소득교역조건지수,"교역조건은 수출과 수입의 교환비율을 나타내는 지표로서 순상품교역조건과 소득교역조건이 있으며, 기준시점을 100으로 지수화한 것이 교역조건지수이다. 동 지수가 상승하면 교역조건이 개선, 하락하면 악화됨을 의미한다. 소득교역조건지수는 순상품교역조건지수에 수출물량지수를 곱하고 100으로 나누어 산출하는 것으로 동 지수의 상승은 비교시점의 수출총액으로 기준시점보다 더 많은 양을 수입할 수 있다는 것을 의미한다"
433,소득발생계정,소득발생계정은 생산계정을 확장 또는 설명하는 계정으로 여기에는 정부와 생산에 직접 참여한 제도단위에서 발생한 본원소득이 기록됨
434,소득분배,"소득분배의 접근방법은 크게 기능별 소득분배와 계층별 소득분배의 두 가지로 나누어진다. 기능별 소득분배는 요소소득의 수취자가 수행한 생산기능에 따른 소득분배를 고찰하는 것이다. 계층별 소득분배는 모든 가계를 소득의 원천에 관계없이 소득의 크기에 따라 차례로 배열하여 상이한 소득계층의 소득이 경제전체의 총소득 중 얼마의 비율을 차지하고 있는가를 고찰하는 것이다. 계층별 소득분배 접근방법에 의하여 소득분배의 불균등도를 측정하는데 흔히 사용되는 지수로는 지니계수와 10분위분배율이 있다. 인구의 누적점유율을 횡축, 소득의 누적점유율을 종축으로 하는 정사각형에서 계층별 소득분배를 표시한 곡선을 로렌츠곡선이라고 한다. 이 곡선이 대각선에 가까우면 가까울수록 소득분포는 균등한 것이고, 멀면 멀수록 불균등한 것을 나타낸다"
435,소득분배 및 사용계정,"소득분배 및 사용계정은 다음과 같은 항목을 나타내는 계정임
1.생산에 의해 소득이 어떻게 발생하게 되는가
2.생산에 의해 창출된 부가가치에 대한 청구권(claims)이 각 제도단위에 어떻게 분배되는가
3.소득이 사회부담금 및 수혜금, 조세 등을 통해 어떻게 재분배되는가
4.궁극적으로 가계, 정부 또는 가계에 봉사하는 비영리단체에 의해 소득이 어떻게 최종소비 또는 저축에 사용되는가"
436,소득세,"소득세란 개인, 가계, 비영리단체, 법인기업의 소득, 이익 및 자본이득에 부과되는 조세를 말함. 소득세에는 다음과 같은 유형이 있음.? 1) 개인 소득세,? 2) 법인기업 소득세,?? 3) 자본이득세(taxes on capital gains),?? 4) 복권 당첨금 또는 도박으로 획득한 이익에 대한 조세"
437,소득측면의 GDP,"소득측면의 GDP는 피용자보수에다 생산 및 수입세(보조금 차감), 총혼합소득과 총영업잉여를 더한 것임"
438,소매업,"소매업이란 구입한 신상품 또는 중고품을 변형없이 일반 소비자에게 재판매하는 산업활동을 말한다. 대부분의 소매상은 판매상품에 대한 소유권이 있으나 특정한 경우에는 소유권을 갖지 않고 수수료 또는 계약에 의해 소유자를 대리하여 판매하는 경우도 있다. 소매업의 형태는 크게 일반소매업, 종합소매업, 특수소매업으로 분류할 수 있다. 일반소매업은 동일한 주된 품목을 계속적으로 취급하는 사업체를 말한다(백화점, 슈퍼마켓, 대형마트 등 단일경영체계를 가진 종합소매업은 제외). 종합소매업에는 백화점, 슈퍼마켓, 대형마트 등과 같이 단일 경영체계를 갖고 각종 상품을 판매하는 활동을 말한다. 특수소매업은 일반 구매자를 대상으로 직접 판매할 수 있는 매장을 개설하지 않고 특정상품을 전문적으로 소매하는 산업활동을 말한다."
439,소비 ,제도단위가 인간의 욕구를 충족하기 위해 필요한 재화나 용역을 소모하는 일로 이들의 구매를 위해서 화폐를 지출하는 것을 소비지출이라고 한다. 중간소비와 최종소비로 나뉜다.
440,소비성향,"소비생활은 소득을 떠나서는 고려할 수가 없는 것이며 국민소득과 이것에 의해서 이루어지는 소비와의 관계가 소비성향이다. 정상적인 상태에서는 소비지출은 소득수준에 결정적으로 의존하게 되는 것이다. 그리고 소득을 Y, 소비지출액을 C로써 나타내면 소득에 대한 소비지출액의 비율 C/Y를 평균소비성향이라 한다. 그런데 소득이 증가하면 장래의 불의의 사고에 대한 준비, 재산의 축적, 영리목적 등과 같은 주관적 조건과 이자율이나 재정 정책의 변화, 장래의 소득의 변화와 같은 객관적 조건에 의해서 소득의 일부가 저축 또는 투자됨으로써 소비에 지출되는 부분은 소득의 증가에 비례해서 증가하지는 않는다.
· 평균소비성향 = (소비지출 ÷ 처분가능소득) × 100
· 한계소비성향 = (소비지출증가분 ÷ 처분가능소득증가분) × 100"
441,소비자동향지수,"소비자들이 느끼는 경기, 소비지출계획, 생활형편 등 경제에 대한 전반적인 인식을 조사하여 지수화함으로써 소비 및 경기를 파악하는 지표로 활용된다. 소비자동향지수는 1964년 미국 미시간대학이 최초로 작성하였으며 그 이후 우리나라를 비롯한 세계 각국에서 편제하여 공표하고 있다. 한국은행의 소비자동향지수는 매월 초～중순에 걸쳐 조사하여 하순에 결과를 발표하고 있다. "
442,소비자물가지수,도시가구가 소비생활을 영위하기 위하여 구입하는 일정량의 상품과 서비스의 가격변동을 종합적으로 파악하기 위하여 작성하는 지수로 소비자가 일정한 생활수준을 유지하는데 필요한 소비금액의 변동을 나타내므로 소비자의 구매력 측정에 사용된다.
443,소비자심리지수(CCSI),"소비자동향지수(CSI) 중 6개 주요 지수를 표준화하여 합성한 지수로서 과거 장기평균을 기준값 100으로 하여 100보다 크면 소비자의 심리가 장기평균보다 낙관적임을, 100보다 작으면 비관적임을 의미"
444,소음 및 진동방지,"쾌적한 생활을 위해 사업장이나 운송수단 등의 소음 및 진동 억제, 감축, 방지 등을 목적으로 하는 일련의 조치 및 활동을 말한다"
445,소음공해,"소음공해는 대기오염이나 수질오염과는 달리 감각적 공해라는 것이 특징이다. 소음은 크게 공장소음, 교통소음, 생활소음, 항공기소음 등으로 크게 나눌 수 있다. 공장에 설치되는 시설은 한번 설치되면 반영구적으로 사용하게 되므로 공장소음은 인근지역에 지속적으로 피해를 줄 수 있다. 교통소음은 그 배출원이 자동차, 기차 등으로서 발생소음도가 매우 클 뿐 아니라 그 피해지역도 광범위하다. 특히 자동차는 차량보유 대수가 급격히 증가하는데 반해 도로여건은 부족하고 운전자의 소양도 부족해서 더욱 심각해지고 있어 대도시 소음원으로서 가장 중요한 위치를 차지하고 있다. 생활소음 배출원은 확성기소음, 건설공사장의 작업소음, 소규모 공장의 작업소음, 유흥업소 심야소음 등 매우 다양하다. 최근 인구증가와 더불어 도시화, 산업화 등에 따라 생활소음 배출원수는 급격히 증가하고 있다. 항공기소음 피해는 항공기의 운항항로 신설 및 운항회수의 급격한 증가에 따라 사회적인 문제로 대두되고 있다.
소음이란 단순히 시끄러운 소리만이 아니라 듣기 싫은 소리까지 포함해서 우리 감각에 불쾌감 또는 피해를 주는 비주기적인 소리라고 할 수 있다. 일반적으로 소음의 크기를 dB(데시벨)로 표시하며 듣는 사람에게 불쾌감을 주고 작업능률을 저하시키는 모든 소리를 소음이라고 할 수 있다. 소음의 크기를 나타내는 dB의 특징은 소음이 10배 증가할 때마다 10dB 씩 증가한다는 것이다. 즉 30dB보다 소음이 10배 증가하면 40dB이 된다. 일반적으로 나누는 대화는 약 60dB, 지하철 안이나 시끄러운 공장내에서는 80∼90dB 정도 이다. 보통 85dB을 넘어가면 불쾌감이 생기기 시작하고 130dB 이상이 되면 귀에 통증이 오며 심하면 고막이 파열되기도 한다."
446,손익계산서 ,일정기간 동안 기업의 경영성과를 나타내는 표로서  일정기간동안 발생한 모든 수입과 이에 대응되는 비용 정보를 제공하는 재무보고서로 기업의 수익성을 판단하는데 유익한 정보를 제공한다
447,손익분기점률 ,"손익분기점이란 일정기간의 매출액과 총영업비용이 일치하여 이익이나 손실이 발생하지 않는 점으로 매출량 또는 매출액으로 나타낼 수 있다. 매출액이 손익분기점을 초과할 경우에는 이익이 발생하고 손익분기점에 미달할 경우에는 손실이 발생한다.
손익분기점률이란 손익분기점에서의 매출액과 이미 실현된 매출액과의 비율이다. 일반적으로 이 비율이 낮을수록 영업활동의 채산성이 양호함을 의미하며 높을수록 채산성이 좋지 않음을 나타낸다.
손익분기점분석이란 비용을 고정비와 변동비로 분류하여 조업도 변동에 따른 기업의 수익, 비용 및 이익의 상호 변동관계를 분석하고 이로부터 매출계획 및 이익계획을 수립하는 것이다. 다만 기업경영분석에서의 손익분기점분석은 경상이익을 기준으로 한다."
448,손익의 관계비율 ,"일정기간 동안의 기업의 경영성과를 측정하는 비율로서 투자된 자본 또는 자산, 매출수준에 상응하여 창출한 이익의 정도를 나타내므로 자산이용의 효율성, 이익창출능력 등에 대한 평가는 물론 영업성과를 요인별로 분석, 검토하기 위한 지표로 이용된다.
수익성분석은 자산이익률, 매출액이익률, 매출액대비원가율 등을 검토대상으로 하고 있다.
참고로 저량(stock)개념의 대차대조표 항목과 유량(flow)개념의 손익계산서 항목을 동시에 고려하는 혼합비율의 경우 대차대조표 항목은 기초잔액과 기말잔액을 평균하여 사용한다."
449,수도광열비 ,"손익계산서 항목 중 수도료, 전기료, 전력기금, 가스비, 기름값, 난방용 유류대 등 연료비에 소요되는 비용 중 판매관리부문에 사용되는 금액을 수도광열비라 말한다."
450,수선비 ,"공장의 건물, 기계장치 및 공·기구 등의 수선을 외부에 의뢰했을 경우에 발생하는 비용을 말한다."
451,수송분담률,"수송분담률은 여객 및 화물의 총수송거리(수송량)에서 각 분야별 수송거리(량)가 차지하는 비율을 나타낸다.

· 철도여객수송분담률 = (철도이용여객수×수송거리)÷(총여객수×수송거리)
· 철도화물수송분담률 = (철도이용화물량×수송거리)÷(총화물량×수송거리)"
452,수요견인 인플레이션,"인플레이션은 총수요와 총공급의 개념을 이용하여 설명할 수 있다. 총수요는 어떤 경제내의 모든 경제주체들의 상품과 서비스에 대한 수요의 총합으로써 가계부문의 소비지출, 기업부문의 투자지출, 정부부문의 공공지출, 해외부문의 순수출(=수출-수입)을 합한 것이다. 또 총공급이란 어떤 경제내의 기업들이 생산?판매하려는 상품과 서비스의 총합을 의미한다.

수요견인 인플레이션이란 수요측 요인에 의하여 총수요가 총공급을 초과함으로써 나타나는 물가상승을 의미한다. 이러한 수요견인 인플레이션은 생산요소시장과 생산물시장 모두에서 초과수요가 발생할 때 특히 분명하게 나타난다.

확대재정정책, 과도한 통화량 증가, 민간소비나 투자의 갑작스런 변동에 따른  수요충격 등은 총수요를 증가시켜 수요견인 인플레이션을 발생시킨다. 예컨대 정부가 침체에 빠진 경기를 부양하기 위해서 정부지출을 확대하고 세율을 인하하는 등의 급격한 확대재정정책을 실시하였다면 총수요가 증가(총수요곡선이 오른쪽으로 이동)하여 수요견인 인플레이션이 발생할 수 있다.

참고로 원자재 가격변동 등의 생산비용 변화에 따른 공급측 요인에 의해 발생하는 인플레이션을 비용인상 인플레이션(cost-push inflation)이라 하고, 수요측 요인과 공급측 요인이 동시에 물가상승을 일으키는 경우를 혼합형 인플레이션이라고 한다."
453,수요와 공급,"컴퓨터용 책상은 컴퓨터의 본체와 모니터, 키보드 등을 좁은 공간에 잘 정리할 수 있도록 만들어져 있다. 만약 이 책상이 20년 전쯤 나왔다면 어땠을까. 그때는 컴퓨터를 사용하는 사람이 거의 없었기 때문에 컴퓨터용 책상을 찾는 사람도 없었을 것이다. 사람들이 어떤 상품이나 서비스를 구매하려는 욕구를 수요라고 한다.

수요란 소비자가 막연히 갖기를 공상하는 것이 아니라 주어진 가격에서 공급의 제한이 없다면 실제로 구매하는 양을 말한다. 다시 말해서 실제로 물건을 살 수 있는 돈을 갖고 물건을 구매하려는 욕구를 말한 다. 수요가 가격뿐 아니라 소득수준에도 영향을 받는 이유가 여기에 있다. 그러므로 수요를 다시 정의하면 재화나 용역에 대한 단순한 욕구가 아닌 구매력이 수반된 욕구라 할 수 있다.

수요만 있다고 상품이 생겨나는 건 아니다. 그것을 만들 수 있는 기업이 있어야 하고 또 기업이 이윤을 남길 수 있겠다고 판단해야만 그 상품이 시장에 나온다. 즉 공급이란 상품이나 서비스의 생산자가 정해진 가격하에서 어떤 상품이나 서비스를 시장에 내놓는 것을 말한다"
454,수요의 법칙,"다른 모든 조건이 일정할 때 어떤 재화의 가격이 상승(하락)하면 그 재화의 수요량이 감소(증가)하는 현상을 의미한다. 다시 말해 가격과 수요량 사이의 역의 관계를 의미한다.

예를 들어 사과 가격이 상승하면 대다수의 소비자들은 사과 구매를 줄이게 될 것이므로 사과에 대한 수요는 감소할 것이다. 반대로 사과가격이 하락하면 사과 가격이 비싸서 이전까지 사과를 구매할 수 없었던 사람들도 사과를 구매할 수 있게 됨에 따라 사과에 대한 수요가 늘어날 것이다. 이처럼 가격과 수요량이 서로 반대방향으로 움직이는 역의 관계를 수요의 법칙이라고 한다"
455,수요탄력성,"경제에서 탄력성은 ‘어떤 충격에 대하여 반응하는 정도’를 의미한다. 그런데 충격을 주는 쪽과 충격에 반응하는 쪽의 단위가 다를 수 있으므로 측정단위를 변화율로 통일하여 계산한다. 그리고 반응하는 대상이 무엇이냐에 따라 ‘수요 또는 공급의 ○○탄력성’이라는 말을 붙여 사용한다. 탄력성은 아래의 <식 1>과 같이 정의 할 수 있다.

그리고 어떤 종류의 충격이 발생했느냐에 따라서 가격탄력성, 소득탄력성, 교차탄력성으로 구분한다. 즉, 상품의 가격 변화비율에 따른 수요량의 변화비율을 수요의 가격탄력성(price elasticity of demand), 소비자의 소득변화비율에 따른 수요량의 변화비율을 수요의 소득탄력성(income elasticity of demand), 타재화의 가격변화비율에 따른 수요량의 변화비율을 수요의 교차탄력성(cross elasticity of demand)으로 나타낸다.

탄력성은 반응의 크기를 분석하는 데 의미가 있다. 충격을 주는 쪽과 반응하는 쪽의 변화율을 비교하여 같은 경우를 단위탄력적이라고 하고 반응하는 쪽의 변화율이 더 크면 탄력적, 작으면 비탄력적이라고 한다.

수요의 가격탄력성의 경우에도 이러한 방식은 똑같이 적용된다. 한 상품의 가격의 변화비율과 수요량의 변화비율이 동일할 경우 수요의 가격탄력성은 1이 되며, 이 경우 수요가 단위탄력적이라고 한다. 또한 수요량의 변화비율이 가격의 변화비율보다 작아서 수요의 가격탄력성이 1보다 작으면 수요가 비탄력적이라고 한다. 반면 수요량의 변화비율이 가격의 변화비율 보다 커서 수요의 가격탄력성이 1보다 크게 되면 수요가 탄력적이라고 한다. 즉, 아래의 <식 2>와 같이 정의 할 수 있다."
456,수익성지표,"기업의 이익창출 능력을 파악하기 위한 지표로서 매출액 영업이익률, 매출액 세전순이익률, 금융비용부담률 등이 있음"
457,수입거래표,산업연관표 작성시 수입액 취급방법에 따라 국산품과 수입품을 구분한 비경쟁수입형표 중 수입품만의 거래를 기록하는 표는 수입거래표이다
458,수입보조금,수입보조금은 재화 및 서비스 수입시 동 재화 및 서비스에 대해 지급되는 보조금임. 정책상 목적을 위해 정부기관이 비거주자로부터 생산물을 구매하여 이를 거주자에게 저가로 판매함으로써 발생하는 손실액도 수입보조금으로 처리?
459,수입세,"수입세는 재화가 한 경제구역의 국경을 통과할 때, 또는 서비스가 비거주자 생산자로부터 거주자 생산자단위로 전달될 때 동 재화 및 서비스에 부과되는 조세임. 수입된 재화가 경제내에서 유통되는 과정에서 부과되는 조세(예 : 소비세, 판매세 등)는 수입세가 아니며 기타 생산물세로 처리. 수입세는 수입관세와 기타 수입세로 구성됨"
460,수입유발계수,"산업연관표에서 최종수요가 한단위 증가하였을 경우 이를 충족시키기 위해서 각 산업에서 직접, 간접으로 유발되는 중간재수입액 수준을 나타내는 것으로 산업별 수입유발계수와 최종수요항목별 수입유발계수로 나뉘어 지고, 산업별 수입유발계수는 수입투입계수표에 생산유발계수표를 곱하여 구하며, 최종수요항목별 수입유발계수는 소비, 투자, 수출 등의 최종수요에 의한 수입유발액을 최종수요액으로 나눈 것"
461,수질오염도,"우리나라는 수역별, 항목별 수질환경기준이 설정되어 있는데 수역별로는 하천, 호소, 해역으로 구분하고 항목별로는 생활환경기준인 수소이온농도(PH), 생물학적 산소요구량(BOD), 용존산소량(DO), 화학적 산소요구량(COD), 부유물질량(SS) 등 8개 항목과 사람의 건강보호기준인 카드뮴(Cd), 시안(Cn), 비소(As), 수은(Hg) 등 9개 항목으로 구분하고 있다. 또한 등급별로는 하천·호수에 5개등급, 해역에 3개 등급으로 구분하여 각각 기준을 차등, 설정하여 관리하고 있다."
462,수출입금액지수,수출입금액지수는 수출입 금액의 변동을 나타내는 지수로서 수출입 품목의 비교 시점 수출입 금액을 기준 시점 수출입금액으로 나눈 후 100을 곱하여 산출한다.
463,수출입물가지수,수출입물가지수는 수출입상품의 가격변동을 파악하고 그 가격변동이 국내물가에 미치는 영향을 사전에 측정하기 위하여 작성되는 지수로서 수출입관련업체들의 수출채산성 변동 및 수입원가부담 등을 파악하는 한편 수출입물가지수의 상호비교를 통하여 가격측면에서의 교역조건을 측정하는 데에 이용된다.
464,수출입물량지수,수출입물량지수는 수출입 물량의 변동을 나타내는 지수로서 수출입금액지수를 시차적용 수출입물가지수로 나눈 후 100을 곱하여 산출한다.
465,수출입의 대 GNI비율,한 나라 경제의 무역의존도를 나타내며 수출입(수출+수입)의 국민총소득에 대한 비율로 산출한다.
466,수확체감의 법칙,"다른 생산요소들을 고정시키고 한 생산요소의 투입량을 계속 증가시킬 경우 그 증가된 투입요소에 의해 생산되는 한계생산물의 양이 지속적으로 감소하는 현상을 의미한다.

수확체감의 법칙은 원래 농업부문에서 발견되었으나 사실 모든 산업부문에서 특정 생산요소의 투입량이 고정되어 있는 단기에 발생하는 일반적인 현상이다. 대표적인 예로 고정된 토지에 노동을 추가적으로 투입할 경우 노동의 한계생산물(marginal product)이 지속적으로 감소하는 현상을 들 수 있다. 즉, 제한된 토지에 노동자를 계속해서 투입하면 총생산물은 증가할지라도 추가되는 노동자의 한계생산물은 바로 전 노동자의 한계생산물보다 작게 된다. 그러므로 노동자를 추가하면 할수록 노동자의 한계생산물은 지속적으로 감소하게 된다."
467,순금융비용 ,"타인자본을 차입하여 사용한 대가로 지급하는 이자비용에서 수입이자분을 차감한 잔액 즉, 금융거래에서 지급한 순수한 이자비용"
468,순금융비용 대 매출액 ,이자비용에서 이자수익을 차감한 잔액 즉 금융거래로 지급한 순수한 이자비용을 매출액으로 나눈 지표이다.
469,순부가가치,"순부가가치란 최종생산물의 시장거래액에서 중간생산물의 가치(중간소비)를 제하고 여기서 고정자본소모, 즉 감가상각비용을 공제한 것이다. 순부가가치= 산출액 - (중간소비 +고정자본소모 )"
470,순상품교역조건지수,"교역조건은 수출과 수입의 교환비율을 나타내는 지표로서 순상품교역조건과 소득교역조건이 있으며, 기준시점을 100으로 지수화한 것이 교역조건지수이다. 동 지수가 상승하면 교역조건이 개선, 하락하면 악화됨을 의미한다. 순상품교역조건지수는 수출상품 한 단위 가격과 수입상품 한 단위 가격 간의 비율을 기준시점=100으로 지수화한 것으로, 동 지수의 상승은 수출가격이 수입가격보다 더 상승 또는 덜 하락하여 상품 한 단위를 수출해 받은 외화로 이전보다 더 많은 양의 상품을 수입할 수 있게 됨을 의미한다."
471,순외환손익 대 매출액 ,환율변화에 따라 발생한 순외환손익(=외환차익+외화환산이익-외화차손-외화환산손실)이 매출액과 비교하여 어느 정도인가를 파악하기 위한 지표
472,순운전자본 대 총자본 ,재무제표 중 기업의 지급능력의 기초가 되는 순운전자본의 총자본에대한 비율로서 이 비율이 높을수록 유동성이 양호하다는 것을 의미한다.
473,순이자보상비율,이자지급에 필요한 수익 창출 능력을 평가하는 지표로서 기업의 이자상환능력을 판단하는데 활용한다. 순이자보상비율=영업이익/(이자비용-이자수익)
474,순자본스톡,"생산자본스톡에서 연령증가에 따른 가격하락까지 반영하여 대차대조표 기록 시점의 가격으로 평가한 것으로, 경제주체가 보유하고 있는 자산가액의 규모를 파악할 수 있다."
475,순저축,순저축은 순가처분소득에서 최종소비지출을 차감한 것으로 자금순환계정상 자금이 생산과정에서 사용된 이른바 산업적 유통을 기록하는 자본계정과 자금의 금융적 유통을 기록하는 금융계정으로 나뉘어져 기록된다. 자본계정은 당해기간 동안의 저축과 투자 즉 자본거래의 흐름을 표시하는 계정인데 저축투자차액을 순저축이라고도 한다. 
